age,repo_num,follower_num,commit_comment_num,commit_num,issue_comment_num,issue_event_num,issue_number,org_number,pr_comment_num,pr_num,collaborator_num
224,11,4,0,2,19,22,10,0,0,1,0
420,4,0,0,0,2,1,0,0,0,0,0
808,25,62,0,2,25,19,2,3,0,1,0
1317,16,23,0,9,4,15,7,0,0,7,0
391,12,7,0,3,9,18,4,1,11,2,0
596,9,4,0,43,217,278,39,0,105,32,0
701,4,1,0,2,33,23,5,0,0,3,0
404,18,21,0,4,7,26,3,2,0,3,0
605,2,2,0,0,3,1,0,1,0,0,0
290,6,1,0,1,3,2,1,0,0,1,0
779,30,3,0,1,3,1,1,0,0,1,0
767,21,20,0,36,37,70,18,2,9,17,0
685,8,7,0,1,30,50,13,0,13,10,0
774,103,77,0,81,116,101,59,1,18,42,0
89,2,1,0,0,0,1,0,0,0,0,0
908,3,0,0,0,1,2,1,0,0,0,0
493,11,32,0,5,17,14,9,1,0,2,0
1249,82,18,0,6,13,22,6,2,0,4,0
803,14,0,0,0,13,8,5,0,0,1,0
128,4,0,0,0,4,2,0,0,0,0,0
905,19,4,0,2,15,12,3,1,6,2,0
622,10,3,0,2,7,0,2,1,1,1,0
1446,24,15,0,0,7,3,1,0,0,0,0
414,21,5,0,0,2,4,3,0,0,0,0
902,44,3,0,0,8,6,0,2,0,0,0
541,47,22,0,2,11,23,2,1,1,2,0
521,40,12,0,14,15,63,13,0,2,11,0
913,4,6,0,0,0,14,0,0,0,0,0
730,20,17,0,1,3,0,2,0,0,1,0
867,27,24,0,100,209,268,60,0,53,58,0
1236,9,3,0,0,0,4,0,0,0,0,0
682,88,13,0,43,63,82,41,0,20,29,0
1275,50,67,0,1,1,1,0,2,0,0,0
618,3,1,0,0,4,8,2,1,0,0,0
859,32,4,0,6,1,10,2,0,3,1,0
274,8,1,0,0,2,1,1,0,0,0,0
1224,35,25,0,8,11,9,3,0,0,1,0
764,61,17,0,3,23,10,6,1,0,2,0
501,2,1,0,2,7,9,7,0,0,2,0
365,31,35,0,26,182,110,13,0,24,10,0
587,7,2,0,1,29,33,7,0,0,2,0
479,6,4,0,0,0,4,0,0,0,0,0
1331,11,7,0,0,0,11,0,0,0,0,0
604,82,33,0,35,57,87,17,1,29,10,0
572,0,0,0,0,3,4,0,0,0,0,0
1247,35,614,0,350,381,391,171,1,49,161,1
188,21,0,0,0,12,5,1,0,0,0,0
364,50,6,0,13,12,16,7,2,5,9,0
490,21,1,0,0,0,1,0,1,0,0,0
262,23,0,0,5,22,16,12,0,6,2,0
539,36,19,0,16,64,46,12,1,16,8,0
463,67,34,0,2,7,5,3,0,0,2,0
939,0,0,0,0,0,4,0,0,0,0,0
379,21,3,0,29,79,76,15,0,45,13,0
610,25,16,0,2,36,24,7,0,0,2,0
214,12,1,0,3,10,8,2,0,1,1,0
900,1,0,0,0,2,2,0,0,0,0,0
1267,13,8,0,7,12,17,6,1,0,6,0
887,57,21,0,0,3,3,1,2,0,0,0
523,28,142,0,1,3,7,2,2,0,2,0
110,5,0,0,1,5,13,5,0,0,2,0
34,35,60,0,930,789,25,9,0,755,206,1
820,28,10,0,1,39,38,8,1,4,1,0
77,14,0,0,0,6,4,1,0,0,0,0
0,0,0,0,0,1,1,0,0,0,0,0
241,5,0,0,1,11,9,4,0,0,1,0
583,16,0,0,9,7,30,11,0,7,8,0
520,16,4,0,5,9,17,4,0,0,4,0
455,8,9,0,4,1,13,4,0,0,4,0
221,3,9,0,0,6,1,1,1,0,0,0
794,58,65,0,5,48,69,20,0,26,17,0
713,27,164,0,24,34,29,6,7,15,5,0
927,35,98,0,30,13,414,19,3,0,15,0
287,28,10,0,3,12,21,3,0,3,3,0
535,44,36,0,0,12,8,5,1,0,0,0
527,13,6,0,0,2,3,1,0,0,0,0
694,17,15,0,4,8,5,5,2,0,4,0
1392,23,177,0,13,31,26,10,0,21,6,0
1013,32,71,0,72,99,99,21,4,15,19,0
513,12,0,0,0,8,4,1,0,0,0,0
413,4,7,0,0,7,5,1,0,0,0,0
1425,67,159,0,20,142,93,23,7,4,13,0
90,1,2,0,0,1,0,0,0,0,0,0
159,6,0,0,0,5,5,3,0,0,0,0
510,38,5,0,0,0,54,0,0,0,0,0
499,31,5,0,0,6,6,3,2,0,0,0
200,1,2,0,15,9,13,6,1,2,5,0
614,4,2,0,0,11,12,4,1,0,0,0
642,37,15,0,13,36,33,7,3,15,4,0
917,14,3,0,0,1,2,0,2,0,0,0
169,14,8,0,0,4,3,2,2,0,0,0
163,20,90,0,0,21,17,5,5,0,0,0
93,1,0,0,0,3,4,2,0,0,0,0
708,27,11,0,6,6,5,4,0,0,4,0
516,7,8,0,0,1,3,3,0,0,0,0
529,11,13,0,54,128,173,36,0,58,30,0
833,15,3,0,0,0,1,1,0,0,0,0
1083,81,24,0,2,1,10,2,0,0,2,0
368,4,3,0,0,4,2,1,0,0,0,0
54,0,1,0,0,2,4,0,0,0,0,0
517,6,2,0,0,0,1,0,0,0,0,0
1175,21,6,0,7,9,22,5,0,0,6,0
8,1,1,0,0,0,1,0,0,0,0,0
598,1,0,0,0,12,11,4,0,0,0,0
747,37,32,0,1,8,14,3,0,0,1,0
12,0,0,0,0,1,1,1,0,0,0,0
420,8,2,0,0,4,7,2,0,0,0,0
446,6,1,0,1,0,2,2,0,0,1,0
925,2,0,0,0,0,2,2,1,0,0,0
941,41,20,0,5,41,47,15,3,6,3,0
847,4,0,0,9,20,28,9,0,2,5,0
480,69,5,0,0,1,2,1,0,0,0,0
495,11,4,0,0,6,9,0,0,0,0,0
384,22,18,0,19,25,26,6,0,4,6,0
535,36,17,0,33,158,126,29,1,17,29,0
646,21,9,0,6,5,11,6,0,0,6,0
190,15,7,0,0,3,12,2,0,3,1,0
6,4,1,0,0,7,6,1,0,0,0,0
332,8,1,0,0,1,2,1,0,0,0,0
1113,3,1,0,0,4,6,0,0,0,0,0
674,30,12,0,3,3,2,2,0,0,1,0
719,34,3,0,7,7,23,5,0,7,5,0
382,2,1,0,1,8,18,7,1,0,1,0
636,28,5,0,5,19,20,3,0,3,2,0
343,2,0,0,0,3,1,2,0,0,0,0
663,7,1,0,0,14,16,6,0,0,0,0
134,13,7,0,0,1,1,0,1,0,0,0
49,4,0,0,0,0,1,0,0,0,0,0
773,4,0,0,0,0,1,0,0,0,0,0
616,22,27,0,6,12,29,5,2,0,5,0
174,2,0,0,0,8,6,0,0,0,0,0
138,7,0,0,0,1,3,3,0,0,0,0
361,7,0,0,0,10,13,4,0,0,0,0
270,6,0,0,2,9,8,2,0,2,1,0
536,8,4,0,16,36,33,21,1,1,9,0
394,6,3,0,0,2,4,1,0,0,0,0
19,5,1,0,0,1,3,2,1,0,0,0
559,30,6,0,16,8,21,13,0,7,13,0
321,9,0,0,30,3,43,25,1,1,24,0
228,55,25,0,0,2,4,1,4,0,0,0
765,36,40,0,2,2,2,1,2,0,1,0
355,35,43,0,0,2,3,0,0,0,0,0
78,0,0,0,0,0,1,1,0,0,0,0
249,0,0,0,0,1,2,1,0,0,0,0
282,21,1,0,17,11,18,17,0,9,17,0
765,10,1,0,0,0,1,0,0,0,0,0
197,0,0,0,0,3,11,4,0,0,0,0
275,23,1,0,1,2,9,1,0,2,1,0
280,2,1,0,0,2,2,1,0,0,0,0
266,6,6,0,0,3,1,0,0,0,0,0
359,3,0,0,0,1,5,3,0,0,1,0
1189,22,83,0,8,2,9,5,3,4,5,0
181,5,28,0,3,41,28,7,1,3,2,0
162,0,0,0,0,1,2,1,0,0,0,0
691,3,0,0,0,2,1,0,0,0,0,0
577,28,6,0,1,5,4,1,0,0,1,0
14,3,0,0,0,3,4,0,0,0,0,0
180,59,72,0,6,10,11,5,2,0,4,0
542,37,320,0,87,189,190,41,7,54,35,0
156,0,3,0,3,2,17,3,1,0,3,0
162,5,3,0,0,0,1,1,0,0,0,0
119,25,7,0,13,86,45,11,2,67,4,0
451,6,4,0,26,48,63,22,0,8,19,0
589,3,1,0,0,9,9,4,0,0,0,0
38,3,0,0,0,3,4,0,0,2,0,0
1036,82,25,0,0,3,2,1,0,0,0,0
703,7,14,0,0,1,1,0,0,0,0,0
191,1,0,0,0,3,3,0,0,0,0,0
4,4,1,0,0,138,22,20,0,27,15,0
795,16,4,0,1,9,8,3,0,0,1,0
336,3,3,0,0,11,7,0,0,0,0,0
1000,34,387,0,207,97,122,21,3,35,20,0
519,4,1,0,0,3,2,0,0,0,0,0
661,16,150,0,0,4,7,0,0,2,0,0
349,27,12,0,1,2,7,6,0,0,1,0
615,23,7,0,81,159,139,57,0,29,24,0
14,3,5,0,0,2,2,1,0,0,0,0
442,16,5,0,0,2,4,1,0,0,0,0
641,7,0,0,0,3,5,0,0,0,0,0
172,7,1,0,3,4,9,2,0,0,2,0
299,64,9,0,8,13,12,7,1,5,7,0
743,4,20,0,34,6,4,2,0,0,1,0
28,4,1,0,1,1,0,1,0,0,1,0
563,30,55,0,16,36,17,5,4,16,6,0
369,29,13,0,0,99,64,11,3,2,0,0
748,2,1,0,0,18,13,1,0,0,0,0
