newcomer,age,repo_num,follower_num,commit_comment_num,commit_num,issue_comment_num,issue_event_num,issue_number,org_number,pr_comment_num,pr_num,collaborator_num
False,1646,3,3069,0,7356,4352,20273,174,3,1147,149,1
False,207,1,0,0,0,1,0,1,0,0,0,0
False,919,2,545,0,283,4317,4193,189,6,3580,126,2
False,207,1,0,0,0,1,0,1,0,0,0,0
False,723,1,3,0,9,30,44,4,1,30,4,0
False,919,2,545,0,283,4317,4193,189,6,3580,126,2
False,1554,3,3069,0,6793,3980,18568,143,3,1015,120,1
False,102,0,0,0,0,0,0,1,0,0,0,0
False,1359,0,1,0,0,17,13,4,0,0,0,0
False,1608,3,3069,0,7253,4226,19869,168,3,1122,144,1
False,528,0,0,0,0,2,0,0,0,0,0,0
False,1055,0,6,0,0,0,0,0,0,0,0,0
False,369,0,0,0,0,0,0,0,0,0,0,0
False,702,0,0,0,0,1,1,0,0,0,0,0
False,854,3,33,0,372,943,1049,203,1,893,169,1
False,1608,3,3069,0,7253,4226,19869,168,3,1122,144,1
False,1359,0,1,0,0,17,13,4,0,0,0,0
False,528,0,0,0,0,2,0,0,0,0,0,0
False,369,0,0,0,0,0,0,0,0,0,0,0
False,102,0,0,0,0,0,0,1,0,0,0,0
False,854,3,33,0,372,943,1049,203,1,893,169,1
False,604,1,1,0,0,7,7,3,1,1,0,0
False,932,2,545,0,283,4363,4224,190,6,3621,126,2
False,604,1,1,0,0,7,7,3,1,1,0,0
False,1567,3,3069,0,7038,4151,19283,163,3,1064,139,1
False,1106,0,2,0,2,10,11,8,0,0,2,0
False,1106,0,2,0,2,10,11,8,0,0,2,0
False,1295,2,27,0,58,115,82,32,4,30,27,0
False,1106,0,2,0,2,10,11,8,0,0,2,0
False,1560,3,3069,0,6988,4134,19144,161,3,1058,137,1
False,575,0,2,0,1,15,17,5,2,0,1,0
False,1608,3,3069,0,7253,4226,19869,168,3,1122,144,1
False,575,0,2,0,1,15,17,5,2,0,1,0
False,831,2,1,0,30,49,47,11,0,5,5,0
False,1608,3,3069,0,7253,4226,19869,168,3,1122,144,1
False,575,0,2,0,1,15,17,5,2,0,1,0
False,831,2,1,0,30,49,47,11,0,5,5,0
True,677,0,2,0,0,2,1,1,0,0,0,0
False,792,3,33,0,339,875,963,184,1,830,152,1
False,677,0,2,0,0,2,1,1,0,0,0,0
False,1546,3,3069,0,6719,3923,18307,141,3,982,118,1
False,792,3,33,0,339,875,963,184,1,830,152,1
False,677,0,2,0,0,2,1,1,0,0,0,0
False,1546,3,3069,0,6719,3923,18307,141,3,982,118,1
True,1419,2,496,0,156,115,166,50,5,29,41,0
False,911,2,545,0,280,4218,4108,187,6,3508,124,2
False,1419,2,496,0,156,115,166,50,5,29,41,0
False,265,1,0,0,0,0,0,0,0,0,0,0
False,1419,2,496,0,156,115,166,50,5,29,41,0
False,1546,3,3069,0,6719,3923,18307,141,3,982,118,1
True,605,0,1,0,0,1,0,2,0,0,0,0
False,940,0,34,0,7,31,61,12,1,10,7,0
False,1182,3,603,0,378,747,975,151,4,176,132,1
False,1182,3,603,0,378,747,975,151,4,176,132,1
False,1546,3,3069,0,6719,3923,18307,141,3,982,118,1
True,1576,0,13,0,0,31,18,2,0,0,0,0
False,977,2,545,0,284,4521,4343,194,6,3768,127,2
False,1576,0,13,0,0,31,18,2,0,0,0,0
False,1612,3,3069,0,7278,4276,19975,170,3,1124,146,1
False,1612,3,3069,0,7278,4276,19975,170,3,1124,146,1
False,1177,3,603,0,370,738,952,149,4,174,130,1
False,906,2,545,0,279,4205,4084,187,6,3488,124,2
False,1177,3,603,0,370,738,952,149,4,174,130,1
False,324,1,6,0,8,14,6,5,1,0,4,0
False,979,0,30,0,0,2,0,0,4,0,0,0
False,1177,3,603,0,370,738,952,149,4,174,130,1
False,1541,3,3069,0,6669,3893,18149,141,3,961,118,1
True,757,1,30,0,30,208,189,62,0,21,27,0
False,1151,1,90,0,591,1434,1631,265,1,743,233,0
False,893,1,8,0,13,26,18,8,1,3,7,0
False,508,1,7,0,1,1,2,1,10,0,1,0
False,757,1,30,0,30,208,189,62,0,21,27,0
False,757,1,30,0,30,208,189,62,0,21,27,0
False,1610,3,3069,0,7277,4274,19968,170,3,1124,146,1
False,1151,1,90,0,591,1434,1631,265,1,743,233,0
True,1286,1,35,0,6,37,6,4,2,42,3,0
False,1509,3,3069,0,6432,3738,17405,128,3,878,106,1
False,944,1,76,0,2,13,11,5,1,0,2,0
False,1241,1,90,0,591,1434,1633,266,1,743,233,0
False,1451,0,1,0,0,23,17,4,0,0,0,0
False,944,1,76,0,2,13,11,5,1,0,2,0
False,1181,1,4,0,12,46,30,7,0,7,2,0
False,1336,3,603,0,412,801,1089,164,4,189,145,1
False,1336,3,603,0,412,801,1089,164,4,189,145,1
False,944,1,76,0,2,13,11,5,1,0,2,0
False,1700,3,3069,0,7750,4777,21500,224,3,1440,196,1
True,1018,0,45,0,0,3,2,2,4,0,0,0
False,1018,0,45,0,0,3,2,2,4,0,0,0
False,791,2,8,0,4,13,10,4,0,1,2,0
False,1555,3,3069,0,6855,4031,18710,147,3,1024,124,1
False,1189,1,1,0,2,34,15,11,0,0,2,0
False,1555,3,3069,0,6855,4031,18710,147,3,1024,124,1
False,1018,0,45,0,0,3,2,2,4,0,0,0
False,1189,1,1,0,2,34,15,11,0,0,2,0
True,1447,1,26,0,0,71,66,9,1,0,0,0
False,874,2,545,0,274,4003,3850,186,6,3316,123,2
False,1509,3,3069,0,6432,3738,17405,128,3,878,106,1
True,1068,2,0,0,4,10,4,4,0,0,3,0
False,946,3,33,0,384,988,1103,208,1,961,173,1
False,1068,2,0,0,4,10,4,4,0,0,3,0
False,1326,2,102,0,122,186,207,65,5,111,62,1
False,1065,2,545,0,288,4851,4602,200,6,4348,129,2
False,975,1,8,0,30,30,59,24,1,5,22,0
False,1089,2,61,0,84,198,157,49,4,153,37,0
False,1326,2,102,0,122,186,207,65,5,111,62,1
False,1065,2,545,0,288,4851,4602,200,6,4348,129,2
False,1068,2,0,0,4,10,4,4,0,0,3,0
False,975,1,8,0,30,30,59,24,1,5,22,0
False,1700,3,3069,0,7750,4777,21500,224,3,1440,196,1
False,946,3,33,0,384,988,1103,208,1,961,173,1
False,1089,2,61,0,84,198,157,49,4,153,37,0
False,1361,1,22,0,14,18,17,7,1,1,5,0
False,1495,3,3069,0,6365,3706,17189,127,3,861,105,1
True,1162,3,603,0,370,731,944,149,4,173,130,1
False,1162,3,603,0,370,731,944,149,4,173,130,1
False,1038,0,48,0,0,16,24,0,1,0,0,0
False,1162,3,603,0,370,731,944,149,4,173,130,1
False,1038,0,48,0,0,16,24,0,1,0,0,0
False,1193,2,56,0,0,4,13,0,3,0,0,0
False,1526,3,3069,0,6567,3811,17835,137,3,919,115,1
True,1630,1,1,0,0,8,8,2,0,0,0,0
False,1320,2,102,0,117,182,203,62,5,108,59,1
False,1630,1,1,0,0,8,8,2,0,0,0,0
False,951,4,6,0,6,10,6,4,1,0,5,0
False,1694,3,3069,0,7677,4655,21230,213,3,1390,185,1
False,1429,2,27,0,125,177,140,53,4,47,42,0
False,1630,1,1,0,0,8,8,2,0,0,0,0
False,1320,2,102,0,117,182,203,62,5,108,59,1
False,1429,2,27,0,125,177,140,53,4,47,42,0
False,179,0,0,0,0,0,2,1,0,0,0,0
False,1694,3,3069,0,7677,4655,21230,213,3,1390,185,1
False,646,0,4,0,0,6,1,7,0,0,0,0
False,974,4,8,0,39,48,45,28,0,8,27,0
False,646,0,4,0,0,6,1,7,0,0,0,0
False,1145,1,15,0,1,0,2,1,3,0,1,0
False,1182,3,603,0,378,747,975,151,4,176,132,1
False,1546,3,3069,0,6719,3923,18307,141,3,982,118,1
False,1359,0,1,0,0,3,8,3,1,0,0,0
False,973,2,545,0,284,4505,4335,193,6,3764,127,2
False,1359,0,1,0,0,3,8,3,1,0,0,0
False,1884,0,0,0,0,2,0,0,0,0,0,0
False,1388,1,52,0,368,256,301,75,6,311,73,1
False,1608,3,3069,0,7253,4226,19869,168,3,1122,144,1
False,1359,0,1,0,0,3,8,3,1,0,0,0
False,1608,3,3069,0,7253,4226,19869,168,3,1122,144,1
False,238,0,0,0,0,1,2,1,0,0,0,0
False,1295,1,52,0,214,150,188,46,6,194,45,1
False,238,0,0,0,0,1,2,1,0,0,0,0
False,1515,3,3069,0,6474,3771,17577,132,3,884,110,1
False,1515,3,3069,0,6474,3771,17577,132,3,884,110,1
False,238,0,0,0,0,1,2,1,0,0,0,0
False,1295,1,52,0,214,150,188,46,6,194,45,1
True,1244,1,2,0,1,0,1,2,0,0,1,0
False,1494,3,3069,0,6360,3703,17164,126,3,860,104,1
False,1149,1,90,0,591,1434,1631,265,1,743,233,0
False,1388,1,52,0,368,256,301,75,6,311,73,1
False,1149,1,90,0,591,1434,1631,265,1,743,233,0
False,1608,3,3069,0,7253,4226,19869,168,3,1122,144,1
