result,newcomer,age,repos,commit_comments,commits,issue_comments,issue_events,issues,pr_comments,prs
0,1,3.1178,0.47712125471966244,2.276461804173244,3.873727380646679,3.5652573434202135,4.231571525528415,2.0791812460476247,2.931457870689005,1.9912260756924949
0,1,3.0932,0.47712125471966244,2.271841606536499,3.868526886768203,3.5599066250361124,4.226367875856486,2.045322978786657,2.926856708949692,1.9493900066449126
0,1,3.0877,0.47712125471966244,2.271841606536499,3.8665826770635485,3.555819683061191,4.2234180569052935,2.0334237554869494,2.9237619608287,1.9344984512435675
0,1,3.0795,0.47712125471966244,2.271841606536499,3.865577707419929,3.554125581513013,4.222508376039671,2.0293837776852093,2.9222062774390163,1.9294189257142926
0,1,3.0192,0.47712125471966244,2.2504200023088936,3.8550949511586214,3.537441283407947,4.204119982655924,1.9493900066449126,2.893206753059848,1.8325089127062362
0,1,3.0082,0.47712125471966244,2.2504200023088936,3.8528458180149965,3.528273777167043,4.197721522226865,1.9344984512435675,2.874481817699466,1.8260748027008262
1,1,0.726,0.0,0,1.0,1.851258348719075,1.591064607026499,0.8450980400142567,1.6812412373755872,0.8450980400142567
0,1,3.0,0.47712125471966244,2.2504200023088936,3.850829959848531,3.5255630582700666,4.194208979646681,1.9294189257142926,2.8609366207000932,1.8195439355418683
0,1,2.8877,0.47712125471966244,2.2227164711475833,3.830331993451961,3.49220145139254,4.162116141062368,1.7993405494535815,2.7737864449811935,1.6532125137753435
0,1,2.8685,0.47712125471966244,2.2227164711475833,3.8282086144679455,3.4898179083014504,4.158483112699248,1.7993405494535815,2.76417613239033,1.6532125137753435
0,1,2.8466,0.47712125471966244,2.2121876044039577,3.8225603369426917,3.482587769526767,4.15038797732528,1.6989700043360185,2.757396028793024,1.5440680443502754
0,1,2.4329,0.47712125471966244,1.8864907251724818,2.3729120029701067,2.796574333210429,2.8767949762007,2.1139433523068365,2.1958996524092336,2.0791812460476247
0,1,2.7753,0.47712125471966244,2.2013971243204513,3.811507979945327,3.466125870418199,4.135228090226055,1.6434526764861872,2.7315887651867388,1.4913616938342726
0,1,2.7616,0.47712125471966244,2.2013971243204513,3.8105013477665293,3.463743721247059,4.132995700692264,1.6434526764861872,2.7291647896927698,1.4913616938342726
0,1,2.7507,0.47712125471966244,2.1986570869544226,3.8084135514003683,3.4584867637982066,4.130398103652801,1.6434526764861872,2.727541257028556,1.4913616938342726
0,1,2.3507,0.30102999566398114,1.8864907251724818,2.3673559210260184,2.782472624166286,2.8609366207000932,2.1003705451175625,2.1903316981702914,2.0681858617461617
0,1,2.6932,0.47712125471966244,2.1958996524092336,3.79947839883798,3.4470028984661623,4.118463139775365,1.6020599913279623,2.7109631189952754,1.4313637641589871
1,1,0.3041,0.0,0,0,0.47712125471966244,0.30102999566398114,0.30102999566398114,0,0
0,1,2.6329,0.47712125471966244,2.1903316981702914,3.792671789141567,3.4396484295634733,4.108835527934605,1.6020599913279623,2.7015679850559273,1.4313637641589871
0,1,2.5507,0.47712125471966244,2.1903316981702914,3.784331948022148,3.4247183373315666,4.089869801509551,1.57978359661681,2.69196510276736,1.414973347970818
1,1,1.063,0.30102999566398114,0,1.3424226808222062,1.6627578316815739,1.8325089127062362,1.2787536009528289,1.1461280356782377,1.2304489213782739
0,1,2.4959,0.47712125471966244,2.1553360374650614,3.766784515497859,3.3841741388070328,4.048635988432648,1.5051499783199058,2.6541765418779604,1.3424226808222062
0,1,2.4164,0.30102999566398114,2.143014800254095,3.7561033715851053,3.364175632770619,4.024074987307426,1.447158031342219,2.636487896353365,1.2787536009528289
