age,repo_num,follower_num,commit_num,issue_comment_num,issue_event_num,issue_number,org_number,pr_comment_num,pr_num
1000,34,387,207,97,122,21,3,35,20
519,4,1,0,3,2,0,0,0,0
661,16,150,0,4,7,0,0,2,0
349,27,12,1,2,7,6,0,0,1
615,23,7,81,159,139,57,0,29,24
14,3,5,0,2,2,1,0,0,0
442,16,5,0,2,4,1,0,0,0
641,7,0,0,3,5,0,0,0,0
172,7,1,3,4,9,2,0,0,2
299,64,9,8,13,12,7,1,5,7
743,4,20,34,6,4,2,0,0,1
28,4,1,1,1,0,1,0,0,1
563,30,55,16,36,17,5,4,16,6
369,29,13,0,99,64,11,3,2,0
748,2,1,0,18,13,1,0,0,0
903,5,5,20,2,2,0,0,0,2
744,24,5,2,1,1,1,0,0,1
520,8,0,0,1,6,3,0,0,0
152,5,0,0,1,1,1,0,0,0
320,15,2,0,0,1,1,1,0,0
568,39,0,0,12,11,7,2,0,0
241,24,2,0,1,1,1,0,0,0
79,0,1,0,1,4,1,0,0,0
655,0,0,0,1,1,0,0,0,0
569,3,9,0,22,19,7,1,0,0
205,9,1,0,2,1,0,0,0,0
297,9,5,0,15,13,4,0,0,0
1011,0,0,0,0,20,0,0,0,0
440,7,1,0,0,39,0,0,0,0
33,2,0,0,4,3,1,0,0,0
53,4,0,0,0,2,2,0,0,0
684,4,1,0,1,2,1,0,0,0
94,44,12,1,2,4,2,1,2,1
1125,13,0,0,0,1,0,0,0,0
693,46,35,0,4,1,1,1,0,0
154,0,1,10,16,18,9,0,0,8
456,52,0,0,0,6,0,0,0,0
762,20,73,27,44,73,18,4,10,16
439,4,0,3,3,3,1,1,6,1
472,96,48,62,69,82,25,6,12,24
18,3,0,0,10,14,1,0,0,0
35,6,0,4,15,90,5,0,0,2
124,14,12,1,0,3,3,0,0,2
179,0,0,0,4,3,1,0,0,0
1130,14,7,5,8,8,2,0,2,2
